spp_code,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Kleaf_max,P50,P88,Phe,ISI
Dap_him,121.62,185.2,138.05,1043.45,6564.48,0.93,7.98,-70.48,-79.31,3.32,0.56,1.7,2.08,0.38
Del_fis,90.58,99.81,86.03,394.86,5643.93,2.89,30.126343156673602,-94.84,-95.37,13.69,0.7235816026653008,2.185420916296189,2.26,0.3
Des_spi,151.09,325.29,246.33,1075.82,5558.93,25.7,219.04,-96,-93.52,26.53,0.29,0.98,1.31,0.57
Dic_ant,106.06,391.9,143.59,542.53,35020.8,63.3,144.31446740280052,158.8,-12.7,0.19,2.27,6.87,2.66,0.25
Dic_feb,61.13,141.4,61.67,566.1,2946.15,0.46,6.21,-53.01,-26.32,1.55,0.5366016074471589,1.8053166183047205,2.85,0.36
Dic_squ,123.52,636.78,142.62,556.34,48815.26,69.01,111.32777714882025,414.25,175.69,0.24,1.6086677193353445,4.676929781879175,3.92,0.31
Dio_lyc,101.78,27.74,46.53,577.58,3306.71,0.62,22.14872425696206,0,-38.74,32.91,0.7482523476007387,2.385989816344596,6.68,0.34
Dio_pol,46.6,198.13,96.73,142.04,3064.74,24.27,57.059945009884714,-85.86,-91.06,0.91,0.654960374016933,1.8606333406468536,1.27,0.26
Dip_esc,43.25,24.16,58.83,499.66,13565.37,16.63,118.5435011584213,-92.21,-91.7,7.51,0.49,0.96,5.06,0.2
Dir_occ,42.52,183.48,196.15,643.2,4218.45,4.16,5.66,-52.67,-85.16,6.68,0.6901049340981054,2.208747237605319,1.83,0.48
Doo_asp,119.71,430.26,255.77,498.89,8330.02,115.59,220.99662662545384,-97.4,-97.1,1.19,2.24,3.33,5.12,0.41
Dry_rem,55.93,328.01,152.71,145.63,13797.98,34.61,135.09112151803146,-82.48,-76.88,2.07,0.917610249149372,2.056544077026233,2.1,0.31
Ehr_acu,64.72,57.85,26.84,188.19,1564.21,3,7.71,-96.59,-70.22,10.54,0.4727813016145843,1.7474940599700017,2.6,0.36
Equ_tel,64.92,142.03882330019292,77.16,1941.4711548502212,5873.349690609802,14.45,84.16094288513203,-19.43958219006649,-1.51,7.3,1.138287559779116,3.5620475746941547,2.11,0.27
Esc_her,78.44,455.57,73.35,829.84,3249.5,8.91,96.26,-81.54,-67.46,1.62,0.5669040946451499,2.239789101133393,4.84,0.33
Euc_cri,162.41,138.4309713179461,118.3,2258.59,6827.64,29.47,39.83,-63.89,-62.41,28.99,0.9800636866310514,3.0064685672830023,6.96,0.53
Eur_jap,150.95,394.00571763030234,260.54,601.13,5920.35,2.95,25.51,-76.07,-47.36,2.45,0.8578909513405546,2.017966562331789,2.41,0.42
Eus_jap,76.87,135.84,63.31,499.14,4487.42,0.67,29.456490514264143,-98.68,-98.73,9.4,0.9543894814972851,2.1692002915390574,6.4,0.24
Fra_son,71.12,108.72,57.24,129.92,1460.66,90.38,78.85,-75.73,-90.31,1.63,0.66,1,6.64,0.24
Gom_keu,276.2,364,140.59,1715.99,4501.98,4.8,11.99,-74,-38.86,11.79,0.6944577819549181,2.2825542098597014,6.77,0.33
Hel_chi,88.09,156.32,94.35,544.69,2308.55,2.88,19.1,-47.82,-65.27,12.67,0.5027837451207964,1.5418535923047298,2.02,0.39
Hib_sca,91.72,132.67,120.1,737.11,4048.73,4.21,61.47472320056455,-66.45,-43.6,3.2,0.7806791431012307,2.3012151548505226,4.13,0.33
Ill_lan,111.47,306.00540243727767,141.87,1591.79,4090.29,5.81,18.57,-98.25,-98.42,12.4,0.16,0.51,1.27,0.35
Ite_ili,207.03,413.9723063649771,209.15,1450.33,18989.68,5.83,75.75,-63.64,13.43,4.65,0.8957501591192308,2.037773233172348,4.68,0.38
Kni_uva,92.15,476.25,219.26,390.98,5351.83,30.11,71.2,-81.95,-96.71,11.58,0.5178177712095791,1.8508865325163768,1.02,0.22
Lon_jap,48.61,76.27,170.3,325.21,6525.94,22.800727890812436,82.8805057069371,-91.93,-97.54,12.78,0.5447258986663049,1.4730320191610875,1.48,0.33
Luz_niv,93.22,344.02406785489745,333.32,2675.5201601785616,6999.55,467.62,192.17534842272025,-50.43663037424293,-70.54,12.87,1.1805422063012376,3.198564649467696,2.61,0.43
Mag_che,93.62,361.01,63.49,2524.91,5771.59,9.79,48.429034600144234,-97.17,-97.46,34.83,0.73,1.96,1.75,0.27
Mal_pal,100.94,7.7,25.63,83.35,731.72,0.12,33.8598187058328,-93.84,-92.73,4.73,1.0871428510904733,1.8833268209577763,1.57,0.5
Mel_maj,86.55,370.18,64.46,804.79,13784.6,8.67,45.75406811281228,-79.58,5.23,1.18,0.8112446689648992,2.6657388958584254,7,0.23
Met_dav,99.04,224.47,151.45,688.75,5196.97,9.25,26.62,-35.56,-5.56,1.12,0.56,1.96,0.85,0.34
Mic_mul,45.64,119.33,119.31,480.59,9266.65,4.43,103.38839599841113,-88.02,-56.83,1.36,0.9354286333319463,2.5146317791397523,6.16,0.26
Mic_pla,84.72,253.04,204.7,368.47,8601.36,137.96375909748383,210.6734915767852,-84.17,-94.05,0.86,0.75,2.3,2.83,0.36
Mon_car,56.03,218.28,218.15,731.59,2453.54,81.89542272236606,198.98057569282128,-65.19154528160576,-69.01838991506524,4.86,1.0325330176361696,2.724850172341411,4.41,0.39
Myr_rub,137.72,406.47,197.96,1536.5,5473.72,1.19,21.005809186473535,-92.69,-95.53,10.19,0.8421767989285941,1.5178305284700244,4.39,0.31
Nan_dom,93.92,297.5387421212975,115.16,1522.99,8099.51,7.32,57.231038452616296,-52.14,52.28,2.73,1.24,3.76,6.1,0.43
Not_fus,154.23,249.2,104.16,2790.33,6925.46,11.75,20.88,-85.84,55.56,11.09,1.14,4.33,6.38,0.31
Nym,71.15,114.17,45.23,630.64,4267.1,0.18,3.13,77.66,281.01,0.48,0.8538177322997915,2.649798845447098,6.74,0.23
Ole_eur,184.6,382.4061625696312,186.36,4456.98,8692.09,4.5,48.31173740179821,-33.13,-40.6,3.38,1.0084761995066567,2.57899732561513,3.52,0.83
Ono_sen,22.54,99.38,190.5,458.1,4948.88,3.11,82.0697808588184,-88.57,-95.99,1.16,1.0295304499269269,2.546250850835965,5.95,0.22
Osm_ber,18.91,66.74,128.74,875.28,14448.04,7.443628402161875,85.92292503607041,-8.19,1.59,7.59,1.1438019499155583,2.6475669881651926,2.35,0.44
Pae_bro,69.92,521.06,240.39,42792.97,6640.94,24.20614038495742,98.25360070444839,-88.56,-89.37,16.29,1.5163030042490508,2.4256134077125466,7.54,0.44
Par_tor,246.69,553.15,363.09,3483.18,19.49,55.85,266.02,-99.93,-99.73,1.19,0.8305062420953058,3.225306779449941,2.54,0.23
Per_acu,66.78,14.83,12.62,86.13,447.89,23.397417058991763,54.596070925884064,-82.01,-89.7,0.4,1.0186228081480628,2.5318241536934725,1.7,0.33
Peu_bol,127.61,250.17,130.58,746.56,1788.63,41.74,33.13,-93.84,-93.96,7.3,1.0493387084018742,2.373025999231422,4.16,0.5
Phi_lat,196.63,491.99,150.69,48897.43,4948.59,17.92,41.33,-74.6,-83.7,20.03,1.2249080850542295,2.4359008154593584,4.39,0.39
Phi_var,27.39,170.27,179.88,232.78,5380.5,15.77,132.09777842165062,-32.61,-91.55,2.26,0.7991162673315092,1.855321756519497,0.8,0.32
Phy_pur,53.41,30.59,16.17,89.05,1366.71,2.51,25.767063985306756,-86.87,-83.78,4.14,0.5765090102189299,1.5027220158086803,6.26,0.34
Pit_vir,101.35,342.17,154.37,1000.73,4783.9,3.53,2.3,10.85,-87.43,6.23,0.28,0.86,2.33,0.57
Pla_ori,90.88,349.36,46.33,1103.9,12301.78,5.01,1.03,-78.32,-71.55,5.85,0.9338783381688642,2.416125642427459,3.48,0.32
Pol_cor,64.43,106.45,79.55,701.9,4960.75,25.286002122870276,50.24808564669455,-1.56,-65.79,2.06,1.0286479529691792,2.807942475826664,3.32,0.43
Pol_cri,58.79,225.92,94.12,2127.92,3679.12,15.35,241.16,73.74,272.13,2.13,0.6425404996941683,2.483331746173338,5.54,0.35
Pol_vir,33.03,145.69,168.42,676.66,5492.09,35.263543872940964,118.6205717717966,-63,-72.36,0.66,1.0917300158881338,2.9157091825448047,5.85,0.35
Pro_hoo,40.78,13.87,11.93,155.74,1838.76,7.01,68.64582068037183,-66.9,-81.37,0.5,1.0406480581358992,2.3143552719782345,4.1,0.29
Pte_esc,182.17,1294.39,590.65,858.62,20955,216.75,216.4171180403156,-64.22,-20.29,0.25,2.17,2.44,4.12,0.4
Puy_alp,148.21,56.26,70.47,83.6,585.06,26.29,113.05,-57.14,-75.93,0.8,0.7713170037132986,2.022656106256138,0.72,0.21
Qui_sap,159.71,329.92,95.11,400.51,2995.29,8.62,7.75,-72.2,38.52,1.22,0.7563890440211277,1.9306130862824475,6.17,0.64
Ran_lae,72.89,80.74,108.72,365.54,3832.33,15.23,152.1776389287341,-49.67,137.42,1.41,1.085634335423989,2.7535349614827753,5.53,0.64
Res_lut,60.47,53.33,93.46,428.56,3094.59,26.02,141.28515311045493,-91.9,-93.48,2.14,1.071469135850203,2.531707847389937,2.76,0.38
Rha_pir,138.02,155.68,265.85,35358.86,4178.95,0.67,6.85,-33.86,-22.83,4.77,0.7909012333768005,2.960963346219698,3.69,0.48
Rib_vib,109.12,176.16,116.43,657.85,3056.75,1.22,50.955528749947774,10.89,9.06,1.82,0.6428268217445401,2.43326787370838,6.64,0.29
Rom_cou,162.72,3.44,145.31,328.25,1077.33,96.14294585613287,140.71541565759156,-74.46,-65.36,5.3,1.1247873696956958,2.9378020087302974,2.71,0.27
Rub_odo,57.59,93.04,23.49,255.1,2452.56,22.09295767686051,29.50878281033004,-92.44,-89.13,3.37,0.5621637958135112,1.9173144484939906,6.35,0.41
Rub_tin,76.49,171.85,64.78,923.55,4786.41,49.57,98.8929699608331,-85.4,-95.57,9.51,1.2978269679691696,2.5570029488388877,3.68,0.31
Sag_lat,75.24,111.91,29.46,345.07,3711.65,5.6,36.90348895551714,-77.68,-90.96,5.78,0.6197506829290295,1.6234435402016998,2.94,0.09
Sal_sco,108.68,205.99,89.07,869.44,5070.25,4.73,27.73,-85.97,-88.54,1.7,0.8783161038405498,2.179711429541599,5.58,0.31
Sam_nig,69.25,191.61,137.4,26624.59,5343.66,2.11,81.59788038316,-96.44,-87.71,3.96,0.7193881025113993,3.3558995595816876,6.9,0.34
Sau_cer,35.1,109.74,117.07,215.7,4786.46,1.37,28.137520960618147,-98.62,-91.74,2.28,0.382201751698713,1.4568425859217837,6.38,0.3
Sau_mad,59.97,23.28,4.44,194.13,523.48,0.69,44.33574144332774,-97.55,-96.25,0.38,0.9323756636864768,2.75263571163588,1.18,0.25
Sch_pol,193.36,123.33,117.86,789.5,2975.2,105.49894856982,131.3414103000867,-98.34,-97.98,17.25,0.8309433605138434,2.0506976488365924,6.8,0.27
Sim_chi,185.81,160.98,35.24,1594.13,4039.71,4.5,7.81,-89.68,-93.79,1.14,1.29,2.67,3.95,0.78
Smi_his,35.48,192.71,258.66,354.04,6619.92,5.56,26.25,-88.65,-41.28,1.67,0.44,1.35,1.87,0.37
Sol_lig,125.29,39.19,27.15,295.75,993.57,2.49,10.35,-32.39,-66.49,10.68,0.641505263038807,1.6982312489925042,3.37,0.38
Sta_chi,57.69,151.39,51.36,356.33,3553.27,0.88,19.62858473774385,-92.64,-97.02,0.99,0.5634344027285001,1.534640720316402,4.33,0.3
Tas_lan,157.81,146.84,191.15,1127.45,2659.92,11.66,40.11,-74.15,-55.18,9.43,0.34,1.03,3.94,0.36
Tec_spe,62.84,240.77,217.05,952.71,5792.89,3.56,60.45011985156324,-87.56,-91.02,3.76,1,1.14,2.1482244150791363,0.27
Tod_bar,81.07,433.12,103.95,572.61,20597.91,5.33,35.887574534481224,-2.59,-73.92,0.15,0.6,1.84,6.09,0.29
Tri_lan,203.84,68.4,38.09,175.32,58.07,48.62638254509264,72.62196584241084,34.23,-83.63,12.56,0.7765803139299974,1.8326187213679297,6.27,0.55
Tro_ara,193.91,297.2379757100799,134.48,1408.48,4930.09,4.78,10.68,-72.41,-89.34,16.81,1.48,3.47,3.25,0.38
Ure_car,31.89,99.19,22.9,256.91,8183.11,10.95,72.22148556067211,-38.22,-86.83,0.47,0.8905377993104708,2.379690143963573,1.05,0.19
Vio_gla,20.1,49.14,71.39,387.4,3646.37,1.9,63.909184067542874,-81.52,-57.93,1.39,1.054098514141243,2.8434357865444193,1,0.42
